GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybank,com.mybank.service,ClientProfileService,3,39,0,0,2,10,0,5,0,5
mybank,com.mybank.service,FolderService,214,81,1,1,62,22,17,7,16,7
mybank,com.mybank.service,DemandeCreditService,3,33,0,0,2,9,0,5,0,5
mybank,com.mybank.service,AgencyService,26,26,0,0,8,7,3,4,3,4
mybank,com.mybank.service,LoanApprovalPredictionService,62,126,1,1,14,19,1,2,0,2
mybank,com.mybank.service,AlertService,0,38,0,0,0,13,0,5,0,5
mybank,com.mybank.service,UserService,164,73,1,5,52,14,14,5,13,3
mybank,com.mybank.service,LoanApprovalPredictionService.PredictionResult,0,21,0,0,0,8,0,4,0,4
mybank,com.mybank.service,AgencyDocumentService,0,41,0,2,0,11,0,6,0,5
mybank,com.mybank.service,FolderActionService,0,30,0,0,0,7,0,3,0,3
mybank,com.mybank.model,DemandeCredit,6,28,0,0,2,11,2,8,2,8
mybank,com.mybank.model,User,46,139,10,2,10,37,9,22,4,21
mybank,com.mybank.model,Alert,31,17,0,0,9,6,8,3,8,3
mybank,com.mybank.model,Agency,35,32,0,0,12,12,10,7,10,7
mybank,com.mybank.model,ClientProfile,105,45,0,0,31,13,30,13,30,13
mybank,com.mybank.model,FolderAction,12,44,0,0,4,15,4,8,4,8
mybank,com.mybank.model,AgencyDocument,12,25,0,0,4,8,4,6,4,6
mybank,com.mybank.model,Department,0,27,0,0,0,2,0,1,0,1
mybank,com.mybank.model,Niveau,0,21,0,0,0,2,0,1,0,1
mybank,com.mybank.model,Folder,100,82,9,1,29,26,26,20,21,20
mybank,com.mybank.model,Role,0,51,0,0,0,9,0,1,0,1
mybank,com.mybank.model,FolderNavigation,0,129,0,0,0,22,0,1,0,1
mybank,com.mybank.controller,ClientProfileController,2,105,4,10,0,27,4,9,0,6
mybank,com.mybank.controller,AgencyController,135,136,22,6,29,37,30,16,18,14
mybank,com.mybank.controller,DashboardController,3,67,1,12,1,29,1,13,0,4
mybank,com.mybank.controller,FolderController,2206,541,165,16,532,139,156,23,62,23
mybank,com.mybank.controller,AlertController,0,31,0,4,0,8,0,6,0,4
mybank,com.mybank.controller,AssignController,47,0,4,0,12,0,10,0,8,0
mybank,com.mybank.controller,UserController,181,163,18,6,55,39,34,17,24,15
mybank,com.mybank.controller,AgencyDocumentController,30,132,4,8,10,40,8,9,4,7
mybank,com.mybank.controller,SimulationController,310,162,40,6,89,36,35,8,12,8
